Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,excluded_stage1,excluded_stage2,excluded_stage3,already_analyzed
CPGVA: Code Property Graph based Vulnerability Analysis by Deep Learning,W. Xiaomeng; Z. Tao; W. Runpu; X. Wei; H. Changyu,"China Information Technology Security Evaluation Center, Beijing, China; China Information Technology Security Evaluation Center, Beijing, China; China Information Technology Security Evaluation Center, Beijing, China; China Information Technology Security Evaluation Center, Beijing, China; China Anhua Technology Limited Company, Beijing, China",2018 10th International Conference on Advanced Infocomm Technology (ICAIT),11 Apr 2019,2018.0,,,184,188,"The vast majority of security breaches encountered recent years are direct result of insecure source code. Therefore, the protection of software critically depends on the identification of security defect in source cod. The development and progress of relative technologies depend on the analysts' understanding of the safety issues and the accumulation of long-term experience, which provides a technical basis for the development of vulnerability analysis, but difficult to meet the growing demand of the code security industry. With the maturity of big data technology, the development of natural language processing, deep learning and data mining technology provided new ideas for vulnerability analysis. This paper exploited deep learning methods to review source code on basis of code property graph. We implemented our approach on public datasets Software Assurance Reference Dataset (SARD) of C/C++ command injection and compared with current popular methods, which proved that the proposed code property graph based vulnerability analysis by deep learning (CPGVA) method outper-formed the state of art deep learning source code defect analysis method with the improvement of about 4.5%, 4.2%, 1.7%, 7.9%, 8.1% respectively in femeasure, precision, false positive rate, true positive rate and false negative rate.",,978-1-5386-7936-4,10.1109/ICAIT.2018.8686548,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686548,source code review;code property graph;deep learning;vulnerability analysis;stream extraction,,Big Data;data mining;learning (artificial intelligence);program diagnostics;security of data;software metrics;source code (software),code property graph based vulnerability analysis;security breaches;insecure source code;security defect;relative technologies;code security industry;big data technology;data mining technology;deep learning method;public datasets Software Assurance Reference Dataset;art deep learning source code defect analysis method,,16.0,,13.0,IEEE,11 Apr 2019,,,IEEE,IEEE Conferences,False,True,True,True
Vulnerability Feature Extraction Model for Source Code Based on Deep Learning,Z. Wang; J. Guo; H. Li,"Xi'an Technological University, Xi’an, China; Xi'an Technological University, Xi’an, China; Xi'an Technological University, Xi’an, China","2021 International Conference on Computer Network, Electronic and Automation (ICCNEA)",19 Nov 2021,2021.0,,,21,25,"Despite the work done by academia and industry in the area of vulnerability detection, the number of vulnerabilities reported each year is still growing rapidly. Nowadays, the mainstream vulnerability detection methods mainly transform source code into an intermediate representation and then detect it by machine learning or deep learning algorithms, but the problem of high false-positive rate and negative rate is difficult to solve. This is mainly because the intermediate representation does not reflect the characteristics of the vulnerabilities well. In this paper, we propose a convolutional neural network-based feature extraction model. By extracting features from such intermediate representations of code metrics, these features are used as input to a deep learning model for vulnerability detection. By experimenting with other vulnerability detection methods under the same benchmark, our proposed model shows improvement in all evaluation metrics, with Precision and Recall reaching close to 80%, and False Positive Rate and False Negative Rate decreasing to close to 20%. Finally, we analyze the proposed method and discuss how it should be improved in the future.",,978-1-6654-4486-6,10.1109/ICCNEA53019.2021.00016,Scientific Research Program; Shaanxi Provincial Education Department(grant numbers:19JC021);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603753,Vulnerability Detection;Code Metric;Feature Extraction;Deep Learning,Measurement;Deep learning;Industries;Codes;Machine learning algorithms;Focusing;Transforms,convolutional neural nets;deep learning (artificial intelligence);feature extraction;security of data;source code (software),false positive rate;false negative rate;source code;vulnerability detection;intermediate representation;machine learning;deep learning;convolutional neural network;code metrics;vulnerability feature extraction,,,,14.0,IEEE,19 Nov 2021,,,IEEE,IEEE Conferences,False,False,False,
An Empirical Study on Vulnerability Detection for Source Code Software based on Deep Learning,W. Lin; S. Cai,"School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China","2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",1 Apr 2022,2021.0,,,1159,1160,"In recent years, the complexity of software vulnera-bilities has continued to increase. Manual vulnerability detection methods alone no longer meet the demand. With the rapid development of the deep learning, many neural network models have been widely applied to source code vulnerability detection. The variant of recurrent neural network (RNN), bidirectional Long Short-Term Memory (BiLSTM), has been a popular choice in vulnerability detection. However, is BiLSTM the most suitable choice? To answer this question, we conducted a series of experiments to investigate the effectiveness of different neural network models for source code vulnerability detection. The results shows that the variants of RNN, gated recurrent unit (GRU) and bidirectional GRU, are more capable of detecting source code fragments with mixed vulnerability types. And the concatenated convolutional neural network is more capable of detecting source code fragments of single vulnerability types.",2693-9371,978-1-6654-7836-6,10.1109/QRS-C55045.2021.00173,"National Key R&D Program of China(grant numbers:2020YFB1005500); National Natural Science Foundation of China (NSFC)(grant numbers:U1836116,62172194); China Postdoctoral Science Foundation(grant numbers:2021M691310); Postdoctoral Science Foundation of Jiangsu Province(grant numbers:2021K636C);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9741942,Vulnerability detection;Deep learning;Neural network,Deep learning;Codes;Recurrent neural networks;Conferences;Software quality;Manuals;Logic gates,convolutional neural nets;deep learning (artificial intelligence);recurrent neural nets;security of data;source code (software),bidirectional GRU;bidirectional long short term memory;BiLSTM;concatenated convolutional neural network;deep learning;gated recurrent unit;neural network models;recurrent neural network;RNN;software vulnerabilities;source code fragments;source code software;source code vulnerability detection,,2.0,,9.0,IEEE,1 Apr 2022,,,IEEE,IEEE Conferences,False,True,True,
VDBWGDL: Vulnerability Detection Based On Weight Graph And Deep Learning,X. Zhang; H. Sun; Z. He; M. Gu; J. Feng; Y. Zhang,"School of Cyberspace Security, Xi’an University of Posts and Telecommunications, Xi’an, China; School of Cyber Engineering, Xidian University, Xi’an, China; School of Cyberspace Security, Xi’an University of Posts and Telecommunications, Xi’an, China; School of Cyberspace Security, Hainan University, HaiKou, China; School of Cyberspace Security, Xi’an University of Posts and Telecommunications, Xi’an, China; School of Cyberspace Security, Xi’an University of Posts and Telecommunications, Xi’an, China",2022 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),26 Jul 2022,2022.0,,,186,190,"Vulnerability detection has always been an essential part of maintaining information security, and the existing work can significantly improve the performance of vulnerability detection. However, due to the differences in representation forms and deep learning models, various methods still have some limitations. In order to overcome this defect, We propose a vulnerability detection method VDBWGDL, based on weight graphs and deep learning. Firstly, it accurately locates vulnerability-sensitive keywords and generates variant codes that satisfy vulnerability trigger logic and programmer programming style through code variant methods. Then, the control flow graph is sliced for vulnerable code keywords and program critical statements. The code block is converted into a vector containing rich semantic information and input into the weight map through the deep learning model. According to specific rules, different weights are set for each node. Finally, the similarity is obtained through the similarity comparison algorithm, and the suspected vulnerability is output according to different thresholds. VDBWGDL improves the accuracy and F1 value by 3.98% and 4.85% compared with four state-of-the-art models. The experimental results prove the effectiveness of VDBWGDL.",2325-6664,978-1-6654-0262-0,10.1109/DSN-W54100.2022.00039,Research and Development; National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833845,Vulnerability Detection;Code Variant;Weight Graph;Deep Learning,Deep learning;Codes;Sensitivity;Conferences;Semantics;Information security;Syntactics,graph theory;learning (artificial intelligence);program diagnostics;program testing;security of data,weight graph;deep learning model;vulnerability detection method VDBWGDL;vulnerability-sensitive keywords;variant codes;vulnerability trigger logic;programmer programming style;code variant methods;control flow graph;vulnerable code keywords;suspected vulnerability,,,,18.0,IEEE,26 Jul 2022,,,IEEE,IEEE Conferences,False,True,True,
Static Analysis of Source Code Vulnerability Using Machine Learning Techniques: A Survey,J. Wang; M. Huang; Y. Nie; J. Li,"National Key Laboratory of Science and Technology on Information System Security, Beijing, China; National Key Laboratory of Science and Technology on Information System Security, Beijing, China; National Key Laboratory of Science and Technology on Information System Security, Beijing, China; National Key Laboratory of Science and Technology on Information System Security, Beijing, China",2021 4th International Conference on Artificial Intelligence and Big Data (ICAIBD),28 Jun 2021,2021.0,,,76,86,"With the rapid increase of practical problem complexity and code scale, the threat of software security is increasingly serious. Consequently, it is crucial to pay attention to the analysis of software source code vulnerability in the development stage and take efficient measures to detect the vulnerability as soon as possible. Machine learning techniques have made remarkable achievements in various fields. However, the application of machine learning in the domain of vulnerability static analysis is still in its infancy and the characteristics and performance of diverse methods are quite different. In this survey, we focus on a source code-oriented static vulnerability analysis method using machine learning techniques. We review the studies on source code vulnerability analysis based on machine learning in the past decade. We systematically summarize the development trends and different technical characteristics in this field from the perspectives of the intermediate representation of source code and vulnerability prediction model and put forward several feasible research directions in the future according to the limitations of the current approaches.",,978-1-6654-1515-6,10.1109/ICAIBD51990.2021.9459075,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459075,machine learning;software security;source code vulnerability;static analysis,Analytical models;Machine learning algorithms;Machine learning;Static analysis;Predictive models;Market research;Feature extraction,learning (artificial intelligence);program diagnostics;security of data;software reliability,machine learning techniques;vulnerability static analysis;source code-oriented static vulnerability analysis method;source code vulnerability analysis;practical problem complexity;code scale;software security;software source code vulnerability,,1.0,,96.0,IEEE,28 Jun 2021,,,IEEE,IEEE Conferences,False,True,True,
Multi-Phase Algorithmic Framework to Prevent SQL Injection Attacks using Improved Machine learning and Deep learning to Enhance Database security in Real-time,A. A. Ashlam; A. Badii; F. Stahl,"Department of Computer Science, University of Reading, Reading, UK; Department of Computer Science, University of Reading, Reading, UK; German Research Center for Artificial Intelligence GmbH (DFKI), NiedersachsenOldenburg, Germany",2022 15th International Conference on Security of Information and Networks (SIN),16 Dec 2022,2022.0,,,1,4,"Structured Query Language (SQL) Injection constitutes a most challenging type of cyber-attack on the security of databases. SQLI attacks provide opportunities by malicious actors to exploit the data, particularly client personal data. To counter these attacks security measures need to be deployed at all layers, namely application layer, network layer, and database layer; otherwise, the database remains vulnerable to attacks at all levels. Research studies have demonstrated that lack of input validation, incorrect use of dynamic SQL, and inconsistent error handling have continued to expose databased to SQ LI attacks. The security measures commonly deployed presently, being mostly focused on the network layer only, still leave the program code and the database at risk despite well-established approaches such as web server requests filtering, network firewalls and database access control. To overcome this deficiency, a Multi-Phase algorithmic framework is proposed with improved parameterised machine learning and deep learning to enhance database security in real-time at the database layer. The proposed method has been tested within a university and also in one of the branches of a commercial bank. The results show that the proposed method is able to i) prevent SQLi; ii) classify the type of attack during the detection process, and therefore iii) secure the database.",,978-1-6654-5465-0,10.1109/SIN56466.2022.9970504,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9970504,SQL Injection;Machine Learning;Deep Learning;Real-time;Database Layer;algorithmic,Deep learning;Structured Query Language;Machine learning algorithms;Databases;Firewalls (computing);Filtering;SQL injection,database management systems;deep learning (artificial intelligence);security of data;SQL,application layer;client personal data;cyber-attack;database access control;database layer;database security;deep learning;dynamic SQL;improved parameterised machine learning;malicious actors;multiphase algorithmic framework;network firewall;network layer;security measures;SQL Injection attack prevention;SQLI attacks;Structured Query Language Injection;Web server request filtering,,,,19.0,IEEE,16 Dec 2022,,,IEEE,IEEE Conferences,False,True,True,
SCEVD: Semantic-enhanced Code Embedding for Vulnerability Discovery,J. Gear; Y. Xu; E. Foo; P. Gauravaram; Z. Jadidi; L. Simpson,"Queensland University of Technology, Brisbane, Australia; Queensland University of Technology, Brisbane, Australia; Griffith University, Brisbane, Australia; Tata Consultancy Services, Brisbane, Australia; Griffith University, Brisbane, Australia; Tata Consultancy Services, Brisbane, Australia","2022 IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",20 Mar 2023,2022.0,,,1522,1527,"Source code vulnerability detection is a major goal in security research. In recent years, deep learning methods have been applied to this end, however the task of embedding code into vector representations as input for deep learning models has yet to be definitively solved. The use of graphs, specifically Abstract Syntax Trees and Code Property Graphs, is a promising research direction for this task, however learning from graphs grows prohibitively computationally expensive for large graphs. No close examination of intelligent ways to prune this input to only vulnerability-relevant information has yet been performed. Additionally, most existing works focus largely on structural information from graphs, often neglecting information contained within the nodes themselves. We address these gaps in the prior research by proposing SCEVD: a deep learning model for vulnerability discovery which utilises semantic information to intelligently select features in source code graphs for learning. It uses information contained within code graph nodes, as well as information about their relationships with one another to select the code graph features which are most relevant to code vulnerability. We implement SCEVD and conduct experiments using the SARD Juliet test suite, finding that we are able to improve vulnerability discovery results using this process of semantic-enhanced code graph feature selection.",2324-9013,978-1-6654-9425-0,10.1109/TrustCom56396.2022.00217,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063706,vulnerability discovery;deep learning;code representation;source code semantics,Deep learning;Data privacy;Codes;Source coding;Computational modeling;Semantics;Syntactics,deep learning (artificial intelligence);feature selection;graph theory;learning (artificial intelligence);program diagnostics;security of data;source code (software),code graph features;code graph nodes;Code Property Graphs;deep learning methods;deep learning model;promising research direction;SCEVD;security research;semantic information;semantic-enhanced Code embedding;semantic-enhanced code graph feature selection;source code graphs;source code vulnerability detection;specifically abstract Syntax Trees;structural information;vector representations;vulnerability discovery results;vulnerability-relevant information,,,,14.0,IEEE,20 Mar 2023,,,IEEE,IEEE Conferences,False,False,False,
A Survey on Source Code Review Using Machine Learning,W. Xiaomeng; Z. Tao; X. Wei; H. Changyu,"China Information Technology Security Evaluation Center, Beijing, China; China Information Technology Security Evaluation Center, Beijing, China; China Information Technology Security Evaluation Center, Beijing, China; China anhua technology Limited company, Beijing, China",2018 3rd International Conference on Information Systems Engineering (ICISE),17 Jan 2019,2018.0,,,56,60,"Source code review constrains software system security sufficiently. Scalability and precision are of importance for the deployment of code review tools. However, traditional tools can only detect some security flaws automatically with high false positive and false negative by tedious reviewing large-scale source code. Various flaws and vulnerabilities show specific characteristic in source code. Machine learning systems founded feature matrixes of source code as input, including variables, functions and files, generating ad-hoc label by distinguish or generation methodologies to review source code automatically and intelligently. Source code, whatever the programming language, is text information in nature. Both secure and vulnerable feature can be curved from source code. Fortunately, a variety of machine learning approaches have been developed to learn and detect flaws and vulnerabilities in intelligent source code security review. Combination of code semantic and syntactic feature contribute to the optimation of false positive and false negative during source code review. In this paper, we give the review of literature related to intelligent source code security review using machine learning methods. It illustrate the primary evidence of approaching ML in source code security review. We believe machine learning and its branches will become out-standing in source code review.",2160-1291,978-1-5386-6259-5,10.1109/ICISE.2018.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614720,source code review;machine learning;intelligent;flaws and vulnerabilities;feature representation,Feature extraction;Security;Computer bugs;Deep learning;Tools;Software,learning (artificial intelligence);matrix algebra;program debugging;programming languages;security of data;source code (software),machine learning systems;ML methods;semantic feature;software system security;ad-hoc label;programming language;security flaws detection;feature matrixes;syntactic feature;intelligent source code security review;code review tools,,2.0,,24.0,IEEE,17 Jan 2019,,,IEEE,IEEE Conferences,False,True,True,
Intelligent Penetration Technology of Power Web System Vulnerability Based on Deep Learning,L. Chen; J. Li; B. Zhang,"State Grid Tianjin Electric Power Research Institute, Tianjin, China; State Grid Tianjin Electric Power Research Institute, Tianjin, China; Global Energy Interconnection Research Institute, Nanjing, China","2021 International Conference on Computer, Blockchain and Financial Development (CBFD)",20 Apr 2022,2021.0,,,209,213,"At present, there are some security risks existing in power web system, such as large number of systems, low efficiency of vulnerability identification, poor intelligence level of vulnerability penetration and so on. To solve the problems, this paper studies parallel crawler and multithreaded crawler scanning technology to effectively improve the code and data crawling speed of power web system, so as to improve the efficiency of vulnerability scanning identification. Furthermore, the paper studies the decision-making selection technology of vulnerability feature pattern recognition and vulnerability intelligent detection model of power web system based on LSTM, breaks through the key technologies of semi-automatic outlier sample detection and intelligent vulnerability location and identification, effectively improves the efficiency of vulnerability location and identification, and reduces the labor cost in the process of data processing. Then, based on neural network algorithm, combined with expert experience and exploitation characteristics, the combination rules of parallel and chain are trained. Finally, the deep neural network algorithm is used to judge the feasibility of vulnerability exploitation path, eliminate those paths that cannot be successfully attacked, and improve the success of vulnerability exploitation, so as to improve the ability of intelligent discovery of vulnerability risks.",,978-1-6654-1227-8,10.1109/CBFD52659.2021.00048,State Grid Corporation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9759106,Power web system;intelligent penetration;deep learning;LSTM,Deep learning;Intelligent networks;Crawlers;Neural networks;Decision making;Network security;Fingerprint recognition,computer network security;data mining;decision making;deep learning (artificial intelligence);feature extraction;Internet;multi-threading;power engineering computing;power system security;recurrent neural nets;risk management,intelligent vulnerability risk discovery;deep neural network algorithm;data processing;semiautomatic outlier sample detection;LSTM;data crawling;code crawling;multithreaded crawler scanning technology;parallel crawler;security risks;deep learning;power Web system vulnerability;intelligence level;vulnerability identification;intelligent penetration technology;vulnerability exploitation path;intelligent vulnerability location;vulnerability intelligent detection model;vulnerability feature pattern recognition;decision-making selection technology;vulnerability scanning identification;vulnerability penetration,,,,12.0,IEEE,20 Apr 2022,,,IEEE,IEEE Conferences,False,True,True,
On Building a Vulnerability Dataset with Static Information from the Source Code,J. D. Pereira; J. H. Antunes; M. Vieira,"Department of Informatics Engineering, University of Coimbra, Centre for Informatics and Systems of the University of Coimbra, Coimbra, Portugal; Department of Informatics Engineering, University of Coimbra, Centre for Informatics and Systems of the University of Coimbra, Coimbra, Portugal; Department of Informatics Engineering, University of Coimbra, Centre for Informatics and Systems of the University of Coimbra, Coimbra, Portugal",2021 10th Latin-American Symposium on Dependable Computing (LADC),17 Jan 2022,2021.0,,,1,2,"Software vulnerabilities are weaknesses in software systems that can have serious consequences when exploited. Examples of side effects include unauthorized authentication, data breaches, and financial losses. Due to the nature of the software industry, companies are increasingly pressured to deploy software as quickly as possible, leading to a large number of undetected software vulnerabilities. Static code analysis, with the support of Static Analysis Tools (SATs), can generate security alerts that highlight potential vulnerabilities in an application's source code. Software Metrics (SMs) have also been used to predict software vulnerabilities, usually with the support of Machine Learning (ML) classification algorithms. Several datasets are available to support the development of improved software vulnerability detection techniques. However, they suffer from the same issues: they are either outdated or use a single type of information. In this paper, we present a methodology for collecting software vulnerabilities from known vulnerability databases and enhancing them with static information (namely SAT alerts and SMs). The proposed methodology aims to define a mechanism capable of more easily updating the collected data.",,978-1-6654-7831-1,10.1109/LADC53747.2021.9672589,FCT(grant numbers:2020.04503.BD); European Regional Development Fund (ERDF) through the Operational Program for Competitiveness and Internationalisation(grant numbers:COMPETE2020);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672589,Software Security;Vulnerability Detection;Static Code Analysis;Software Metrics;Machine Learning,Industries;Codes;Software metrics;Databases;Static analysis;Machine learning;Data breach,learning (artificial intelligence);program diagnostics;security of data;software metrics;software reliability;source code (software),vulnerability databases;improved software vulnerability detection techniques;Software Metrics;Static Analysis Tools;Static code analysis;undetected software vulnerabilities;software industry;software systems;source code;static information;vulnerability dataset,,,,15.0,IEEE,17 Jan 2022,,,IEEE,IEEE Conferences,False,True,True,
