Metric,Value,Dataset,Model Config
Precision,85,AnkiDroid,Naïve Bayes
Recall,82,AnkiDroid,Naïve Bayes
FPR,23,AnkiDroid,Naïve Bayes
Precision,91,AnkiDroid,Random Forest
Recall,80,AnkiDroid,Random Forest
FPR,13,AnkiDroid,Random Forest
Precision,51,BoardGameGeek,Naïve Bayes
Recall,32,BoardGameGeek,Naïve Bayes
FPR,8,BoardGameGeek,Naïve Bayes
Precision,87,BoardGameGeek,Random Forest
Recall,24,BoardGameGeek,Random Forest
FPR,1,BoardGameGeek,Random Forest
Precision,99,ConnectBot,Naïve Bayes
Recall,92,ConnectBot,Naïve Bayes
FPR,1,ConnectBot,Naïve Bayes
Precision,95,ConnectBot,Random Forest
Recall,98,ConnectBot,Random Forest
FPR,4,ConnectBot,Random Forest
Precision,100,CoolReader,Naïve Bayes
Recall,77,CoolReader,Naïve Bayes
FPR,0,CoolReader,Naïve Bayes
Precision,89,CoolReader,Random Forest
Recall,85,CoolReader,Random Forest
FPR,10,CoolReader,Random Forest
Precision,90,Crosswords,Naïve Bayes
Recall,76,Crosswords,Naïve Bayes
FPR,7,Crosswords,Naïve Bayes
Precision,95,Crosswords,Random Forest
Recall,84,Crosswords,Random Forest
FPR,4,Crosswords,Random Forest
Precision,66,FBReader,Naïve Bayes
Recall,74,FBReader,Naïve Bayes
FPR,16,FBReader,Naïve Bayes
Precision,89,FBReader,Random Forest
Recall,78,FBReader,Random Forest
FPR,4,FBReader,Random Forest
Precision,87,K9Mail,Naïve Bayes
Recall,73,K9Mail,Naïve Bayes
FPR,10,K9Mail,Naïve Bayes
Precision,85,K9Mail,Random Forest
Recall,91,K9Mail,Random Forest
FPR,15,K9Mail,Random Forest
Precision,85,KeePassAndroid,Naïve Bayes
Recall,69,KeePassAndroid,Naïve Bayes
FPR,8,KeePassAndroid,Naïve Bayes
Precision,100,KeePassAndroid,Random Forest
Recall,86,KeePassAndroid,Random Forest
FPR,0,KeePassAndroid,Random Forest
Precision,59,MileageTracker,Naïve Bayes
Recall,43,MileageTracker,Naïve Bayes
FPR,18,MileageTracker,Naïve Bayes
Precision,59,MileageTracker,Random Forest
Recall,43,MileageTracker,Random Forest
FPR,18,MileageTracker,Random Forest
Precision,83,Mustard,Naïve Bayes
Recall,86,Mustard,Naïve Bayes
FPR,15,Mustard,Naïve Bayes
Precision,81,Mustard,Random Forest
Recall,93,Mustard,Random Forest
FPR,19,Mustard,Random Forest
Precision,88,Browser,Naïve Bayes
Recall,57,Browser,Naïve Bayes
FPR,4,Browser,Naïve Bayes
Precision,90,Browser,Random Forest
Recall,59,Browser,Random Forest
FPR,3,Browser,Random Forest
Precision,77,Calendar,Naïve Bayes
Recall,75,Calendar,Naïve Bayes
FPR,17,Calendar,Naïve Bayes
Precision,79,Calendar,Random Forest
Recall,81,Calendar,Random Forest
FPR,16,Calendar,Random Forest
Precision,72,Camera,Naïve Bayes
Recall,49,Camera,Naïve Bayes
FPR,8,Camera,Naïve Bayes
Precision,80,Camera,Random Forest
Recall,59,Camera,Random Forest
FPR,9,Camera,Random Forest
Precision,76,Contacts,Naïve Bayes
Recall,70,Contacts,Naïve Bayes
FPR,11,Contacts,Naïve Bayes
Precision,98,Contacts,Random Forest
Recall,100,Contacts,Random Forest
FPR,1,Contacts,Random Forest
Precision,83,DeskClock,Naïve Bayes
Recall,71,DeskClock,Naïve Bayes
FPR,16,DeskClock,Naïve Bayes
Precision,83,DeskClock,Random Forest
Recall,91,DeskClock,Random Forest
FPR,21,DeskClock,Random Forest
Precision,72,Dialer,Naïve Bayes
Recall,70,Dialer,Naïve Bayes
FPR,11,Dialer,Naïve Bayes
Precision,98,Dialer,Random Forest
Recall,100,Dialer,Random Forest
FPR,1,Dialer,Random Forest
Precision,83,Email,Naïve Bayes
Recall,71,Email,Naïve Bayes
FPR,16,Email,Naïve Bayes
Precision,83,Email,Random Forest
Recall,91,Email,Random Forest
FPR,21,Email,Random Forest
Precision,70,Gallery2,Naïve Bayes
Recall,64,Gallery2,Naïve Bayes
FPR,12,Gallery2,Naïve Bayes
Precision,92,Gallery2,Random Forest
Recall,87,Gallery2,Random Forest
FPR,3,Gallery2,Random Forest
Precision,80,Mms,Naïve Bayes
Recall,73,Mms,Naïve Bayes
FPR,11,Mms,Naïve Bayes
Precision,93,Mms,Random Forest
Recall,91,Mms,Random Forest
FPR,4,Mms,Random Forest
Precision,62,QuickSearchBox,Naïve Bayes
Recall,80,QuickSearchBox,Naïve Bayes
FPR,14,QuickSearchBox,Naïve Bayes
Precision,96,QuickSearchBox,Random Forest
Recall,79,QuickSearchBox,Random Forest
FPR,1,QuickSearchBox,Random Forest
