Document Title,DOI,PDF Link,excluded_stage1,excluded_stage2,excluded_stage3
CPGVA: Code Property Graph based Vulnerability Analysis by Deep Learning,10.1109/ICAIT.2018.8686548,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686548,FALSE,TRUE,TRUE
Vulnerability Feature Extraction Model for Source Code Based on Deep Learning,10.1109/ICCNEA53019.2021.00016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603753,FALSE,FALSE,FALSE
An Empirical Study on Vulnerability Detection for Source Code Software based on Deep Learning,10.1109/QRS-C55045.2021.00173,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9741942,FALSE,TRUE,TRUE
VDBWGDL: Vulnerability Detection Based On Weight Graph And Deep Learning,10.1109/DSN-W54100.2022.00039,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833845,FALSE,TRUE,TRUE
Static Analysis of Source Code Vulnerability Using Machine Learning Techniques: A Survey,10.1109/ICAIBD51990.2021.9459075,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459075,FALSE,TRUE,TRUE
Multi-Phase Algorithmic Framework to Prevent SQL Injection Attacks using Improved Machine learning and Deep learning to Enhance Database security in Real-time,10.1109/SIN56466.2022.9970504,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9970504,FALSE,TRUE,TRUE
SCEVD: Semantic-enhanced Code Embedding for Vulnerability Discovery,10.1109/TrustCom56396.2022.00217,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063706,FALSE,FALSE,FALSE
A Survey on Source Code Review Using Machine Learning,10.1109/ICISE.2018.00018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614720,FALSE,TRUE,TRUE
Intelligent Penetration Technology of Power Web System Vulnerability Based on Deep Learning,10.1109/CBFD52659.2021.00048,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9759106,FALSE,TRUE,TRUE
On Building a Vulnerability Dataset with Static Information from the Source Code,10.1109/LADC53747.2021.9672589,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672589,FALSE,TRUE,TRUE
Smart Contract Vulnerability Detection Based on Deep and Cross Network,10.1109/CVIDLICCEA56201.2022.9824581,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824581,FALSE,TRUE,TRUE
Smart Contract Vulnerability Detection Using Code Representation Fusion,10.1109/APSEC53868.2021.00069,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9712091,FALSE,TRUE,TRUE
Code Vulnerability Identification and Code Improvement using Advanced Machine Learning,10.1109/ICAC49085.2019.9103400,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103400,FALSE,FALSE,TRUE
Message Passing Graph Neural Networks for Software Security Vulnerability Detection,10.1109/ICCNEA57056.2022.00041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9933216,FALSE,FALSE,FALSE
A Hierarchical Deep Neural Network for Detecting Lines of Codes with Vulnerabilities,10.1109/QRS-C57518.2022.00011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077034,FALSE,FALSE,FALSE
VMPBL: Identifying Vulnerable Functions Based on Machine Learning Combining Patched Information and Binary Comparison Technique by LCS,10.1109/TrustCom/BigDataSE.2018.00114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8455982,FALSE,TRUE,TRUE
A Trusted Source-Based Model of Mobile Code Security,10.1109/ICMLC.2007.4370501,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4370501,TRUE,TRUE,TRUE
Convolutional Neural Network for Software Vulnerability Detection,10.1109/Cyber-RCI55324.2022.10032684,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10032684,FALSE,TRUE,TRUE
