id,title,bibtex_id,url,doi
1,Malware Classification Based on Graph Convolutional Neural Networks and Static Call Graph Features,170,https://link.springer.com/chapter/10.1007/978-3-031-08530-7_45#Sec3,10.1007/978-3-031-08530-7_45
23,Deep Learning-Based Vulnerable Function Detection: A Benchmark,zhou_deep_2020,https://link.springer.com/chapter/10.1007/978-3-030-41579-2_13#Sec3,10.1007/978-3-030-41579-2_13
24,SeqTrans: Automatic Vulnerability Fix via Sequence to Sequence Learning,9729554,https://ieeexplore-ieee-org.proxy.library.nd.edu/stamp/stamp.jsp?tp=&arnumber=9729554,10.1109/TSE.2022.3156637
50,Vulnerability Analysis and Detection Using Graph Neural Networks for Android Operating System,203,https://link.springer.com/chapter/10.1007/978-3-030-92571-0_4#Sec3,10.1007/978-3-030-92571-0_4
61,VulHunter: An Automated Vulnerability Detection System Based on Deep Learning and Bytecode,zhou_vulhunter_2020,http://link.springer.com/10.1007/978-3-030-41579-2_12,10.1007/978-3-030-41579-2_12
62,AIdetectorX: A Vulnerability Detector Based on TCN and Self-attention Mechanism,qin_aidetectorx_2021,https://link.springer.com/10.1007/978-3-030-91265-9_9,10.1007/978-3-030-91265-9_9
65,A Line-Level Explainable Vulnerability Detection Approach for Java,gervasi_line-level_2022,https://link.springer.com/10.1007/978-3-031-10542-5_8,10.1007/978-3-031-10542-5_8
66,Cross-Project Transfer Representation Learning for Vulnerable Function Discovery,8329207,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8329207,10.1109/TII.2018.2821768
69,An Empirical Evaluation of the Usefulness of Word Embedding Techniques in Deep Learning-Based Vulnerability Prediction,gelenbe_empirical_2022,https://link.springer.com/10.1007/978-3-031-09357-9_3,10.1007/978-3-031-09357-9_3
114,Automated Detection of Password Leakage from Public GitHub Repositories,9794113,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9794113,10.1145/3510003.3510150
115,Project Achilles: A Prototype Tool for Static Method-Level Vulnerability Detection of Java Source Code Using a Recurrent Neural Network,8967427,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8967427,10.1109/ASEW.2019.00040
120,Neural Transfer Learning for Repairing Security Vulnerabilities in C Code,9699412,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9699412,10.1109/TSE.2022.3147265
126,Improving Vulnerability Inspection Efficiency Using Active Learning,8883076,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8883076,10.1109/TSE.2019.2949275
139,Predicting Vulnerable Software Components via Text Mining,6860243,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/6860243,10.1109/TSE.2014.2340398
152,A Comparison of Different Source Code Representation Methods for Vulnerability Prediction in Python,paiva_comparison_2021,https://link.springer.com/10.1007/978-3-030-85347-1_20,10.1007/978-3-030-85347-1_20
175,DeepWukong: Statically Detecting Software Vulnerabilities Using Deep Graph Neural Network,cheng_deepwukong_2021,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3436877,10.1145/3436877
180,LineVD: Statement-Level Vulnerability Detection Using Graph Neural Networks,hin_linevd_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3524842.3527949,10.1145/3524842.3527949
182,Improving the Performance of Code Vulnerability Prediction Using Abstract Syntax Tree Information,al_debeyan_improving_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3558489.3559066,10.1145/3558489.3559066
204,VulRepair: A T5-Based Automated Software Vulnerability Repair,fu_vulrepair_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3540250.3549098,10.1145/3540250.3549098
205,Practical Automated Detection of Malicious Npm Packages,sejfia_practical_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3510003.3510104,10.1145/3510003.3510104
